order_id,latitude,longitude,timestamp,order_value
1,12.90298119881953,77.6132890218469,2025-09-07 00:50:30,25.75
2,13.015690371102554,77.59207196575036,2025-09-03 05:08:55,18.74
3,13.03110525614065,77.60242560043585,2025-09-02 04:42:35,27.77
4,13.01282378120346,77.56888714967614,2025-09-03 23:53:15,43.01
5,12.979764450809514,77.57936124002384,2025-09-05 10:51:21,17.87
6,12.916320789015646,77.60242023498057,2025-09-07 20:22:03,17.87
7,12.908656172754748,77.6112092258971,2025-09-07 02:42:58,44.24
8,12.995266008536413,77.5532016143064,2025-09-04 03:15:36,29.48
9,12.893832803842699,77.62129423611562,2025-09-05 19:51:53,15.88
10,12.990709234765568,77.54571617992909,2025-09-07 15:07:23,26.35
11,12.994518290586566,77.5572556463384,2025-09-06 07:52:17,15.93
12,12.916188635950046,77.5905032987612,2025-09-04 22:44:57,15.91
13,12.916286383160537,77.61891761038949,2025-09-07 04:50:22,22.67
14,12.912943517176117,77.6070889630441,2025-09-01 06:27:27,7.72
15,13.005937004168338,77.54811858338337,2025-09-04 04:12:09,8.48
16,12.975036182895685,77.57696959844637,2025-09-03 17:43:04,15.16
17,13.004021227947131,77.56237748459593,2025-09-01 03:53:06,12.1
18,13.027407824767774,77.59390787624149,2025-09-04 07:06:46,23.5
19,12.956518467104525,77.60559646975784,2025-09-05 01:34:39,12.76
20,13.006325258223942,77.5670624002857,2025-09-01 06:48:58,9.91
21,13.025421701234846,77.59624196254971,2025-09-06 11:15:25,41.8
22,13.039413956055084,77.61238036566465,2025-09-02 09:06:16,17.94
23,12.936070470682381,77.62150992649534,2025-09-03 03:29:00,20.78
24,12.911903281121624,77.61367112571511,2025-09-03 07:04:46,9.85
25,13.052029204993413,77.60523733076974,2025-09-05 19:25:15,15.3
26,12.920530321148204,77.63342629471506,2025-09-02 06:25:56,21.23
27,12.90880239796233,77.61523267433114,2025-09-02 18:28:26,11.3
28,12.93192374816722,77.61588401945751,2025-09-05 11:34:21,24.24
29,12.980099212040624,77.58148675774248,2025-09-02 14:17:28,14.87
30,12.90060610026767,77.59990927214632,2025-09-06 05:21:09,17.36
31,13.021646292579495,77.59279354677234,2025-09-07 05:23:53,14.87
32,12.907439393797695,77.60496212508492,2025-09-01 16:58:07,50.71
33,12.964972616866218,77.59313527193258,2025-09-01 10:55:53,19.95
34,12.922278735122164,77.59955395530534,2025-09-06 14:04:50,11.84
35,12.96718233976774,77.59375834914819,2025-09-05 23:57:19,30.3
36,12.9859351548729,77.6052579370855,2025-09-02 10:54:17,10.91
37,12.911956755167438,77.60320805789536,2025-09-06 08:04:39,22.3
38,13.012252053058782,77.56742325753491,2025-09-07 11:16:26,7.54
39,12.971880994633482,77.58262912936662,2025-09-01 14:21:03,10.34
40,12.994035436364486,77.56207503251588,2025-09-02 07:15:47,22.16
41,13.044675116144163,77.60305483130847,2025-09-02 15:34:43,29.06
42,12.912665377703693,77.61627003775716,2025-09-04 03:54:15,21.88
43,12.983292076469526,77.6033331696909,2025-09-05 08:05:05,18.96
44,12.943335172173697,77.61219135683565,2025-09-05 03:39:05,17.28
45,12.954494704214751,77.59578978491896,2025-09-05 05:37:51,9.59
46,12.924104856077621,77.6116242086226,2025-09-04 02:52:24,14.01
47,13.043961527228813,77.60171707291526,2025-09-07 02:53:07,15.95
48,12.964799752784215,77.5969225369716,2025-09-01 09:05:11,34.07
49,12.916362882694989,77.61857401432577,2025-09-02 13:01:12,23.85
50,12.988346182028744,77.54256059590932,2025-09-01 21:31:45,8.32
51,13.023886965027973,77.60356553608634,2025-09-02 01:04:32,23.62
52,12.90658820575336,77.5987957194688,2025-09-01 16:21:11,16.57
53,13.044020601599945,77.61596792982654,2025-09-02 05:50:50,14.32
54,13.02261429839242,77.60420387242037,2025-09-02 08:19:41,27.27
55,13.007305122184947,77.55320274642312,2025-09-04 09:21:30,33.63
56,12.948203451479966,77.61106476235932,2025-09-05 06:39:59,32.0
57,12.97785667347765,77.58602842443584,2025-09-01 12:41:54,13.2
58,12.9145198006447,77.60872728182902,2025-09-06 09:42:40,17.21
59,12.91186537214674,77.61724000494092,2025-09-04 18:22:32,23.7
60,12.996958676111184,77.56090340817947,2025-09-06 01:47:32,32.71
61,13.026304809548211,77.59103102668436,2025-09-02 08:46:55,15.81
62,13.037940937441302,77.58454261221287,2025-09-06 22:42:38,18.3
63,12.94155112550902,77.61369799129959,2025-09-01 05:01:10,11.55
64,12.926647594811202,77.61422938241064,2025-09-03 00:54:49,11.04
65,12.976097740384887,77.61238924343886,2025-09-07 03:14:49,30.15
66,12.93824449119871,77.6270720749098,2025-09-03 13:06:03,39.57
67,12.929640551022255,77.62322265171535,2025-09-06 04:43:02,19.38
68,12.898494429275626,77.63010348089107,2025-09-03 15:57:09,33.17
69,13.058946585666735,77.57832734807408,2025-09-04 07:07:01,24.07
70,12.931072383868099,77.63045643651805,2025-09-01 19:31:53,14.55
71,13.036442800190954,77.5862225522207,2025-09-03 21:50:51,24.06
72,12.913623562888429,77.61528694457718,2025-09-03 04:36:47,43.34
73,12.930737697894482,77.60270763568545,2025-09-01 20:25:23,19.73
74,12.997128055248389,77.54863782714247,2025-09-01 07:50:51,43.92
75,12.927481809222433,77.64111301730608,2025-09-03 01:14:07,5.42
76,12.95899116045665,77.60377861947055,2025-09-02 13:20:15,30.29
77,13.001972962654605,77.5700135098648,2025-09-03 22:12:44,20.98
78,13.028492585967703,77.58420080266737,2025-09-02 16:05:56,17.3
79,12.96479995665882,77.59196594155132,2025-09-07 15:53:01,21.03
80,12.9210909238186,77.61609896633712,2025-09-06 14:42:43,7.44
81,12.992731121569582,77.58961593377293,2025-09-07 08:02:17,18.0
82,12.994956045524326,77.55874609000631,2025-09-07 08:06:17,24.01
83,13.04743163752155,77.59710233061018,2025-09-01 02:39:00,42.05
84,12.996175424741685,77.55410896607117,2025-09-05 02:05:51,15.5
85,13.041878385403349,77.60732512792828,2025-09-07 04:57:06,13.41
86,12.916369843012193,77.60739037737832,2025-09-05 02:49:14,15.63
87,13.009570174186335,77.55796890144774,2025-09-06 20:16:39,31.74
88,12.928510251726832,77.61581915774595,2025-09-04 01:45:17,23.67
89,12.936302995786335,77.6201997461415,2025-09-07 09:13:58,15.41
90,12.960044840899105,77.61030110622039,2025-09-04 21:44:57,25.96
91,12.934915785424009,77.60733575554056,2025-09-01 22:59:05,21.08
92,13.003494355116539,77.55166108262272,2025-09-07 03:43:51,32.6
93,12.91858648674052,77.60931268316332,2025-09-06 23:32:51,14.14
94,12.951983055098228,77.6057553112514,2025-09-02 07:45:52,17.05
95,13.017923283880682,77.58479429895718,2025-09-03 06:36:22,16.51
96,13.005844782353257,77.54238836187255,2025-09-05 19:09:28,9.66
97,12.968340268590186,77.62713985126088,2025-09-02 09:06:20,23.29
98,13.039720418897327,77.59575474752405,2025-09-01 14:25:34,22.89
99,12.9332231763984,77.62075227082548,2025-09-03 13:09:44,20.14
100,12.925681108735,77.61801662693964,2025-09-04 17:38:30,17.86
101,12.98973666575879,77.59864582895118,2025-09-03 01:46:48,9.9
102,12.936100725869817,77.62532730435801,2025-09-06 01:31:17,16.28
103,12.993145577262082,77.53993214515582,2025-09-03 13:05:30,16.92
104,12.93564350557499,77.61273872522011,2025-09-04 16:00:37,13.45
105,13.046406924631803,77.59937485251622,2025-09-03 18:07:47,18.53
106,12.964957725566956,77.60820111366249,2025-09-01 05:31:10,24.58
